organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population (monthly) March 2024,Population (monthly) February 2025,Population (monthly) September 2022,Population (monthly) March 2021,Population (monthly) September 2019,Population (monthly) February 2022,Population (monthly) November 2020,Population (monthly) April 2023,Population (monthly) March 2018,Population (monthly) December 2024,Population (monthly) July 2020,Population (monthly) October 2023,Population (monthly) February 2019,Population (monthly) March 2020,Population (monthly) November 2022,Population (monthly) September 2021,Population (monthly) October 2025,Population (monthly) May 2021,Population (monthly) September 2018,Population (monthly) October 2022,Population (monthly) November 2019,Population (monthly) May 2018,Population (monthly) December 2023,Population (monthly) October 2019,Population (monthly) January 2020,Population (monthly) February 2020,Population (monthly) March 2019,Population (monthly) July 2021,Population (monthly) August 2025,Population (monthly) July 2018,Population (monthly) November 2023,Population (monthly) August 2022,Population (monthly) April 2020,Population (monthly) April 2025,Population (monthly) May 2024,Population (monthly) October 2020,Population (monthly) December 2021,Population (monthly) December 2018,Population (monthly) February 2021,Population (monthly) March 2025,Population (monthly) June 2023,Population (monthly) August 2021,Population (monthly) January 2023,Population (monthly) February 2018,Population (monthly) August 2018,Population (monthly) March 2022,Population (monthly) May 2020,Population (monthly) August 2020,Population (monthly) October 2021,Population (monthly) October 2018,Population (monthly) June 2024,Population (monthly) February 2024,Population (monthly) June 2021,Population (monthly) August 2019,Population (monthly) April 2022,Population (monthly) June 2020,Population (monthly) July 2024,Population (monthly) September 2020,Population (monthly) April 2019,Population (monthly) May 2023,Population (monthly) October 2024,Population (monthly) September 2025,Population (monthly) December 2025,Population (monthly) June 2022,Population (monthly) April 2021,Population (monthly) May 2025,Population (monthly) November 2018,Population (monthly) April 2018,Population (monthly) December 2022,Population (monthly) January 2022,Population (monthly) June 2019,Population (monthly) September 2024,Population (monthly) May 2022,Population (monthly) July 2023,Population (monthly) January 2019,Population (monthly) December 2019,Population (monthly) November 2025,Population (monthly) January 2024,Population (monthly) May 2019,Population (monthly) July 2025,Population (monthly) August 2024,Population (monthly) January 2021,Population (monthly) March 2023,Population (monthly) June 2018,Population (monthly) July 2022,Population (monthly) January 2018,Population (monthly) November 2024,Population (monthly) September 2023,Population (monthly) July 2019,Population (monthly) April 2024,Population (monthly) November 2021,Population (monthly) December 2020,Population (monthly) February 2023,Population (monthly) June 2025,Population (monthly) August 2023,Population (monthly) January 2025
hGD6CIUUSxR,10202 Makalu Rural Municipality,10202,à¤®à¤•à¤¾à¤²à¥� à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13249,13249,14950,15205,13338,14950,13292,13249,13388,13249,13292,13249,13338,13292,14950,15205,13249,15205,13388,14950,13338,13388,13249,13338,13292,13292,13338,15205,13249,13388,13249,14950,13292,13249,13249,13292,15205,13388,15205,13249,13249,15205,13249,13388,13388,14950,13292,13292,15205,13388,13249,13249,15205,13338,14950,13292,13249,13292,13338,13249,13249,13249,13249,14950,15205,13249,13388,13388,14950,14950,13338,13249,14950,13249,13338,13338,13249,13249,13338,13249,13249,15205,13249,13388,14950,13388,13249,13249,13338,13249,15205,13292,13249,13249,13249,13249
X3rzE53ksA1,10203 Silichong Rural Municipality,10203,à¤¸à¤¿à¤²à¥€à¤šà¥‹à¤™ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,9609,9609,10643,10463,11586,10643,11532,9609,11633,9609,11532,9609,11586,11532,10643,10463,9609,10463,11633,10643,11586,11633,9609,11586,11532,11532,11586,10463,9609,11633,9609,10643,11532,9609,9609,11532,10463,11633,10463,9609,9609,10463,9609,11633,11633,10643,11532,11532,10463,11633,9609,9609,10463,11586,10643,11532,9609,11532,11586,9609,9609,9609,9609,10643,10463,9609,11633,11633,10643,10643,11586,9609,10643,9609,11586,11586,9609,9609,11586,9609,9609,10463,9609,11633,10643,11633,9609,9609,11586,9609,10463,11532,9609,9609,9609,9609
gZbwskTTWq8,10204 Chichila Rural Municipality,10204,à¤šà¤¿à¤šà¤¿à¤²à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,6494,6494,7320,7372,7019,7320,6997,6494,7041,6494,6997,6494,7019,6997,7320,7372,6494,7372,7041,7320,7019,7041,6494,7019,6997,6997,7019,7372,6494,7041,6494,7320,6997,6494,6494,6997,7372,7041,7372,6494,6494,7372,6494,7041,7041,7320,6997,6997,7372,7041,6494,6494,7372,7019,7320,6997,6494,6997,7019,6494,6494,6494,6494,7320,7372,6494,7041,7041,7320,7320,7019,6494,7320,6494,7019,7019,6494,6494,7019,6494,6494,7372,6494,7041,7320,7041,6494,6494,7019,6494,7372,6997,6494,6494,6494,6494
iujDcxElwWs,10205 Sabhapokhari Rural Municipality,10205,à¤¸à¤­à¤¾à¤ªà¥‹à¤–à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,9393,9393,10194,10031,10172,10194,10133,9393,10217,9393,10133,9393,10172,10133,10194,10031,9393,10031,10217,10194,10172,10217,9393,10172,10133,10133,10172,10031,9393,10217,9393,10194,10133,9393,9393,10133,10031,10217,10031,9393,9393,10031,9393,10217,10217,10194,10133,10133,10031,10217,9393,9393,10031,10172,10194,10133,9393,10133,10172,9393,9393,9393,9393,10194,10031,9393,10217,10217,10194,10194,10172,9393,10194,9393,10172,10172,9393,9393,10172,9393,9393,10031,9393,10217,10194,10217,9393,9393,10172,9393,10031,10133,9393,9393,9393,9393
XLjQzv0rxIP,10206 Khandabari Municipality,10206,à¤–à¤¾à¤�à¤¦à¤¬à¤¾à¤°à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,36387,36387,36882,36383,31432,36882,31356,36387,31482,36387,31356,36387,31432,31356,36882,36383,36387,36383,31482,36882,31432,31482,36387,31432,31356,31356,31432,36383,36387,31482,36387,36882,31356,36387,36387,31356,36383,31482,36383,36387,36387,36383,36387,31482,31482,36882,31356,31356,36383,31482,36387,36387,36383,31432,36882,31356,36387,31356,31432,36387,36387,36387,36387,36882,36383,36387,31482,31482,36882,36882,31432,36387,36882,36387,31432,31432,36387,36387,31432,36387,36387,36383,36387,31482,36882,31482,36387,36387,31432,36387,36383,31356,36387,36387,36387,36387
O83QKtwuJWq,10207 Panchakhapan Municipality,10207,à¤ªà¤¾à¤�à¤šà¤–à¤ªà¤¨ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,16615,16615,16728,16437,17077,16728,17007,16615,17147,16615,17007,16615,17077,17007,16728,16437,16615,16437,17147,16728,17077,17147,16615,17077,17007,17007,17077,16437,16615,17147,16615,16728,17007,16615,16615,17007,16437,17147,16437,16615,16615,16437,16615,17147,17147,16728,17007,17007,16437,17147,16615,16615,16437,17077,16728,17007,16615,17007,17077,16615,16615,16615,16615,16728,16437,16615,17147,17147,16728,16728,17077,16615,16728,16615,17077,17077,16615,16615,17077,16615,16615,16437,16615,17147,16728,17147,16615,16615,17077,16615,16437,17007,16615,16615,16615,16615
SmI574YhzLn,10208 Chainapur Municipality,10208,à¤šà¥ˆà¤¨à¤ªà¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,27204,27204,27581,27149,26996,27581,26909,27204,27089,27204,26909,27204,26996,26909,27581,27149,27204,27149,27089,27581,26996,27089,27204,26996,26909,26909,26996,27149,27204,27089,27204,27581,26909,27204,27204,26909,27149,27089,27149,27204,27204,27149,27204,27089,27089,27581,26909,26909,27149,27089,27204,27204,27149,26996,27581,26909,27204,26909,26996,27204,27204,27204,27204,27581,27149,27204,27089,27089,27581,27581,26996,27204,27581,27204,26996,26996,27204,27204,26996,27204,27204,27149,27204,27089,27581,27089,27204,27204,26996,27204,27149,26909,27204,27204,27204,27204
mQLICcbzzGj,10209 Madi Municipality,10209,à¤®à¤¾à¤¦à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13455,13455,13667,13459,14190,13667,14140,13455,14241,13455,14140,13455,14190,14140,13667,13459,13455,13459,14241,13667,14190,14241,13455,14190,14140,14140,14190,13459,13455,14241,13455,13667,14140,13455,13455,14140,13459,14241,13459,13455,13455,13459,13455,14241,14241,13667,14140,14140,13459,14241,13455,13455,13459,14190,13667,14140,13455,14140,14190,13455,13455,13455,13455,13667,13459,13455,14241,14241,13667,13667,14190,13455,13667,13455,14190,14190,13455,13455,14190,13455,13455,13459,13455,14241,13667,14241,13455,13455,14190,13455,13459,14140,13455,13455,13455,13455
Za9amWOWD4I,10210 Dharmadevi Municipality,10210,à¤§à¤°à¥�à¤®à¤¦à¥‡à¤µà¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,16386,16386,16598,16341,17800,16598,17733,16386,17869,16386,17733,16386,17800,17733,16598,16341,16386,16341,17869,16598,17800,17869,16386,17800,17733,17733,17800,16341,16386,17869,16386,16598,17733,16386,16386,17733,16341,17869,16341,16386,16386,16341,16386,17869,17869,16598,17733,17733,16341,17869,16386,16386,16341,17800,16598,17733,16386,17733,17800,16386,16386,16386,16386,16598,16341,16386,17869,17869,16598,16598,17800,16386,16598,16386,17800,17800,16386,16386,17800,16386,16386,16341,16386,17869,16598,17869,16386,16386,17800,16386,16341,17733,16386,16386,16386,16386
aCFDSXlmccd,10301 Khumbu Pasanglhamu Rural Municipality,10301,à¤–à¥�à¤®à¥�à¤¬à¥� à¤ªà¤¾à¤¸à¤¾à¤™à¤²à¥�à¤¹à¤¾à¤®à¥� à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,8624,8624,9269,9233,9329,9269,9327,8624,9338,8624,9327,8624,9329,9327,9269,9233,8624,9233,9338,9269,9329,9338,8624,9329,9327,9327,9329,9233,8624,9338,8624,9269,9327,8624,8624,9327,9233,9338,9233,8624,8624,9233,8624,9338,9338,9269,9327,9327,9233,9338,8624,8624,9233,9329,9269,9327,8624,9327,9329,8624,8624,8624,8624,9269,9233,8624,9338,9338,9269,9269,9329,8624,9269,8624,9329,9329,8624,8624,9329,8624,8624,9233,8624,9338,9269,9338,8624,8624,9329,8624,9233,9327,8624,8624,8624,8624
