organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population (monthly) March 2024,Population (monthly) February 2025,Population (monthly) September 2022,Population (monthly) March 2021,Population (monthly) September 2019,Population (monthly) February 2022,Population (monthly) November 2020,Population (monthly) April 2023,Population (monthly) March 2018,Population (monthly) December 2024,Population (monthly) July 2020,Population (monthly) October 2023,Population (monthly) February 2019,Population (monthly) March 2020,Population (monthly) November 2022,Population (monthly) September 2021,Population (monthly) October 2025,Population (monthly) May 2021,Population (monthly) September 2018,Population (monthly) October 2022,Population (monthly) November 2019,Population (monthly) May 2018,Population (monthly) December 2023,Population (monthly) October 2019,Population (monthly) January 2020,Population (monthly) February 2020,Population (monthly) March 2019,Population (monthly) July 2021,Population (monthly) August 2025,Population (monthly) July 2018,Population (monthly) November 2023,Population (monthly) August 2022,Population (monthly) April 2020,Population (monthly) April 2025,Population (monthly) May 2024,Population (monthly) October 2020,Population (monthly) December 2021,Population (monthly) December 2018,Population (monthly) February 2021,Population (monthly) March 2025,Population (monthly) June 2023,Population (monthly) August 2021,Population (monthly) January 2023,Population (monthly) February 2018,Population (monthly) August 2018,Population (monthly) March 2022,Population (monthly) May 2020,Population (monthly) August 2020,Population (monthly) October 2021,Population (monthly) October 2018,Population (monthly) June 2024,Population (monthly) February 2024,Population (monthly) June 2021,Population (monthly) August 2019,Population (monthly) April 2022,Population (monthly) June 2020,Population (monthly) July 2024,Population (monthly) September 2020,Population (monthly) April 2019,Population (monthly) May 2023,Population (monthly) October 2024,Population (monthly) September 2025,Population (monthly) December 2025,Population (monthly) June 2022,Population (monthly) April 2021,Population (monthly) May 2025,Population (monthly) November 2018,Population (monthly) April 2018,Population (monthly) December 2022,Population (monthly) January 2022,Population (monthly) June 2019,Population (monthly) September 2024,Population (monthly) May 2022,Population (monthly) July 2023,Population (monthly) January 2019,Population (monthly) December 2019,Population (monthly) November 2025,Population (monthly) January 2024,Population (monthly) May 2019,Population (monthly) July 2025,Population (monthly) August 2024,Population (monthly) January 2021,Population (monthly) March 2023,Population (monthly) June 2018,Population (monthly) July 2022,Population (monthly) January 2018,Population (monthly) November 2024,Population (monthly) September 2023,Population (monthly) July 2019,Population (monthly) April 2024,Population (monthly) November 2021,Population (monthly) December 2020,Population (monthly) February 2023,Population (monthly) June 2025,Population (monthly) August 2023,Population (monthly) January 2025
bo8TNwdv1KB,20515 Ramnagar Rural Municipality,20515,à¤°à¤¾à¤®à¤¨à¤—à¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,31614,31614,32397,31785,33143,32397,33698,31614,32592,31614,33698,31614,33143,33698,32397,31785,31614,31785,32592,32397,33143,32592,31614,33143,33698,33698,33143,31785,31614,32592,31614,32397,33698,31614,31614,33698,31785,32592,31785,31614,31614,31785,31614,32592,32592,32397,33698,33698,31785,32592,31614,31614,31785,33143,32397,33698,31614,33698,33143,31614,31614,31614,31614,32397,31785,31614,32592,32592,32397,32397,33143,31614,32397,31614,33143,33143,31614,31614,33143,31614,31614,31785,31614,32592,32397,32592,31614,31614,33143,31614,31785,33698,31614,31614,31614,31614
E0BEzyhd8WB,20516 Balara Municipality,20516,à¤¬à¤²à¤°à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,49100,49100,48538,47731,52452,48538,53340,49100,51571,49100,53340,49100,52452,53340,48538,47731,49100,47731,51571,48538,52452,51571,49100,52452,53340,53340,52452,47731,49100,51571,49100,48538,53340,49100,49100,53340,47731,51571,47731,49100,49100,47731,49100,51571,51571,48538,53340,53340,47731,51571,49100,49100,47731,52452,48538,53340,49100,53340,52452,49100,49100,49100,49100,48538,47731,49100,51571,51571,48538,48538,52452,49100,48538,49100,52452,52452,49100,49100,52452,49100,49100,47731,49100,51571,48538,51571,49100,49100,52452,49100,47731,53340,49100,49100,49100,49100
kItgBD0jzqT,20517 Godaita Municipality,20517,à¤—à¥‹à¤¡à¥ˆà¤Ÿà¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,55504,55504,55558,54512,54757,55558,55663,55504,53864,55504,55663,55504,54757,55663,55558,54512,55504,54512,53864,55558,54757,53864,55504,54757,55663,55663,54757,54512,55504,53864,55504,55558,55663,55504,55504,55663,54512,53864,54512,55504,55504,54512,55504,53864,53864,55558,55663,55663,54512,53864,55504,55504,54512,54757,55558,55663,55504,55663,54757,55504,55504,55504,55504,55558,54512,55504,53864,53864,55558,55558,54757,55504,55558,55504,54757,54757,55504,55504,54757,55504,55504,54512,55504,53864,55558,53864,55504,55504,54757,55504,54512,55663,55504,55504,55504,55504
BtJzlRlHotT,20518 Bishnu Rural Municipality,20518,à¤µà¤¿à¤·à¥�à¤£à¥� à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,28710,28710,26407,25944,28425,26407,28901,28710,27954,28710,28901,28710,28425,28901,26407,25944,28710,25944,27954,26407,28425,27954,28710,28425,28901,28901,28425,25944,28710,27954,28710,26407,28901,28710,28710,28901,25944,27954,25944,28710,28710,25944,28710,27954,27954,26407,28901,28901,25944,27954,28710,28710,25944,28425,26407,28901,28710,28901,28425,28710,28710,28710,28710,26407,25944,28710,27954,27954,26407,26407,28425,28710,26407,28710,28425,28425,28710,28710,28425,28710,28710,25944,28710,27954,26407,27954,28710,28710,28425,28710,25944,28901,28710,28710,28710,28710
HFEaEcs9ap6,20519 Kaudena Rural Municipality,20519,à¤•à¥Œà¤¡à¥‡à¤¨à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,28816,28816,29858,29312,29931,29858,30436,28816,29433,28816,30436,28816,29931,30436,29858,29312,28816,29312,29433,29858,29931,29433,28816,29931,30436,30436,29931,29312,28816,29433,28816,29858,30436,28816,28816,30436,29312,29433,29312,28816,28816,29312,28816,29433,29433,29858,30436,30436,29312,29433,28816,28816,29312,29931,29858,30436,28816,30436,29931,28816,28816,28816,28816,29858,29312,28816,29433,29433,29858,29858,29931,28816,29858,28816,29931,29931,28816,28816,29931,28816,28816,29312,28816,29433,29858,29433,28816,28816,29931,28816,29312,30436,28816,28816,28816,28816
RwdsaWpcvuQ,20520 Malangawa Municipality,20520,à¤®à¤²à¤‚à¤—à¤µà¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,55736,55736,54234,53344,53473,54234,54305,55736,52639,55736,54305,55736,53473,54305,54234,53344,55736,53344,52639,54234,53473,52639,55736,53473,54305,54305,53473,53344,55736,52639,55736,54234,54305,55736,55736,54305,53344,52639,53344,55736,55736,53344,55736,52639,52639,54234,54305,54305,53344,52639,55736,55736,53344,53473,54234,54305,55736,54305,53473,55736,55736,55736,55736,54234,53344,55736,52639,52639,54234,54234,53473,55736,54234,55736,53473,53473,55736,55736,53473,55736,55736,53344,55736,52639,54234,52639,55736,55736,53473,55736,53344,54305,55736,55736,55736,55736
yR30qKyaGd2,20601 Chandrapur Municipality,20601,à¤šà¤¨à¥�à¤¦à¥�à¤°à¤ªà¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,84348,84348,84766,83542,90789,84766,92832,84348,88785,84348,92832,84348,90789,92832,84766,83542,84348,83542,88785,84766,90789,88785,84348,90789,92832,92832,90789,83542,84348,88785,84348,84766,92832,84348,84348,92832,83542,88785,83542,84348,84348,83542,84348,88785,88785,84766,92832,92832,83542,88785,84348,84348,83542,90789,84766,92832,84348,92832,90789,84348,84348,84348,84348,84766,83542,84348,88785,88785,84766,84766,90789,84348,84766,84348,90789,90789,84348,84348,90789,84348,84348,83542,84348,88785,84766,88785,84348,84348,90789,84348,83542,92832,84348,84348,84348,84348
hPejcd2Mkhf,20602 Gujara Municipality,20602,à¤—à¥�à¤œà¤°à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,56016,56016,55277,54249,57111,55277,58357,56016,55886,56016,58357,56016,57111,58357,55277,54249,56016,54249,55886,55277,57111,55886,56016,57111,58357,58357,57111,54249,56016,55886,56016,55277,58357,56016,56016,58357,54249,55886,54249,56016,56016,54249,56016,55886,55886,55277,58357,58357,54249,55886,56016,56016,54249,57111,55277,58357,56016,58357,57111,56016,56016,56016,56016,55277,54249,56016,55886,55886,55277,55277,57111,56016,55277,56016,57111,57111,56016,56016,57111,56016,56016,54249,56016,55886,55277,55886,56016,56016,57111,56016,54249,58357,56016,56016,56016,56016
MFzUIoegqtN,20603 Phatuwa Bijayapur Municipality,20603,à¤«à¤¤à¥�à¤µà¤¾ à¤¬à¤¿à¤œà¤¯à¤ªà¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,43704,43704,45420,44504,44283,45420,45276,43704,43309,43704,45276,43704,44283,45276,45420,44504,43704,44504,43309,45420,44283,43309,43704,44283,45276,45276,44283,44504,43704,43309,43704,45420,45276,43704,43704,45276,44504,43309,44504,43704,43704,44504,43704,43309,43309,45420,45276,45276,44504,43309,43704,43704,44504,44283,45420,45276,43704,45276,44283,43704,43704,43704,43704,45420,44504,43704,43309,43309,45420,45420,44283,43704,45420,43704,44283,44283,43704,43704,44283,43704,43704,44504,43704,43309,45420,43309,43704,43704,44283,43704,44504,45276,43704,43704,43704,43704
lPUHQ4gkcBT,20604 Katahariya Municipality,20604,à¤•à¤Ÿà¤¹à¤°à¤¿à¤¯à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,47436,47436,48599,47609,46413,48599,47451,47436,45394,47436,47451,47436,46413,47451,48599,47609,47436,47609,45394,48599,46413,45394,47436,46413,47451,47451,46413,47609,47436,45394,47436,48599,47451,47436,47436,47451,47609,45394,47609,47436,47436,47609,47436,45394,45394,48599,47451,47451,47609,45394,47436,47436,47609,46413,48599,47451,47436,47451,46413,47436,47436,47436,47436,48599,47609,47436,45394,45394,48599,48599,46413,47436,48599,47436,46413,46413,47436,47436,46413,47436,47436,47609,47436,45394,48599,45394,47436,47436,46413,47436,47609,47451,47436,47436,47436,47436
TqihpDvXRdJ,20605 Brindaban Municipality,20605,à¤¬à¥ƒà¤¨à¥�à¤¦à¤¾à¤µà¤¨ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,51661,51661,51292,50301,51892,51292,53037,51661,50769,51661,53037,51661,51892,53037,51292,50301,51661,50301,50769,51292,51892,50769,51661,51892,53037,53037,51892,50301,51661,50769,51661,51292,53037,51661,51661,53037,50301,50769,50301,51661,51661,50301,51661,50769,50769,51292,53037,53037,50301,50769,51661,51661,50301,51892,51292,53037,51661,53037,51892,51661,51661,51661,51661,51292,50301,51661,50769,50769,51292,51292,51892,51661,51292,51661,51892,51892,51661,51661,51892,51661,51661,50301,51661,50769,51292,50769,51661,51661,51892,51661,50301,53037,51661,51661,51661,51661
ktl9PT1WPyh,20606 Gadhimai Municipality,20606,à¤—à¤¢à¥€à¤®à¤¾à¤ˆ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,50685,50685,50885,49815,49246,50885,50349,50685,48157,50685,50349,50685,49246,50349,50885,49815,50685,49815,48157,50885,49246,48157,50685,49246,50349,50349,49246,49815,50685,48157,50685,50885,50349,50685,50685,50349,49815,48157,49815,50685,50685,49815,50685,48157,48157,50885,50349,50349,49815,48157,50685,50685,49815,49246,50885,50349,50685,50349,49246,50685,50685,50685,50685,50885,49815,50685,48157,48157,50885,50885,49246,50685,50885,50685,49246,49246,50685,50685,49246,50685,50685,49815,50685,48157,50885,48157,50685,50685,49246,50685,49815,50349,50685,50685,50685,50685
H2t20CMYnL9,20607 Madhav Narayan Municipality,20607,à¤®à¤¾à¤§à¤µ à¤¨à¤¾à¤°à¤¾à¤¯à¤£ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,42395,42395,41927,41106,42615,41927,43575,42395,41674,42395,43575,42395,42615,43575,41927,41106,42395,41106,41674,41927,42615,41674,42395,42615,43575,43575,42615,41106,42395,41674,42395,41927,43575,42395,42395,43575,41106,41674,41106,42395,42395,41106,42395,41674,41674,41927,43575,43575,41106,41674,42395,42395,41106,42615,41927,43575,42395,43575,42615,42395,42395,42395,42395,41927,41106,42395,41674,41674,41927,41927,42615,42395,41927,42395,42615,42615,42395,42395,42615,42395,42395,41106,42395,41674,41927,41674,42395,42395,42615,42395,41106,43575,42395,42395,42395,42395
VaLVI19UtnA,20608 Garuda Municipality,20608,à¤—à¤°à¥�à¤¡à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,62904,62904,61432,60203,60930,61432,62297,62904,59589,62904,62297,62904,60930,62297,61432,60203,62904,60203,59589,61432,60930,59589,62904,60930,62297,62297,60930,60203,62904,59589,62904,61432,62297,62904,62904,62297,60203,59589,60203,62904,62904,60203,62904,59589,59589,61432,62297,62297,60203,59589,62904,62904,60203,60930,61432,62297,62904,62297,60930,62904,62904,62904,62904,61432,60203,62904,59589,59589,61432,61432,60930,62904,61432,62904,60930,60930,62904,62904,60930,62904,62904,60203,62904,59589,61432,59589,62904,62904,60930,62904,60203,62297,62904,62904,62904,62904
gmtpUDSMtzU,20609 Dewahi Gonahi Municipality,20609,à¤¦à¥‡à¤µà¤¾à¤¹à¥€ à¤—à¥‹à¤¨à¤¾à¤¹à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,40087,40087,39821,38947,38748,39821,39609,40087,37898,40087,39609,40087,38748,39609,39821,38947,40087,38947,37898,39821,38748,37898,40087,38748,39609,39609,38748,38947,40087,37898,40087,39821,39609,40087,40087,39609,38947,37898,38947,40087,40087,38947,40087,37898,37898,39821,39609,39609,38947,37898,40087,40087,38947,38748,39821,39609,40087,39609,38748,40087,40087,40087,40087,39821,38947,40087,37898,37898,39821,39821,38748,40087,39821,40087,38748,38748,40087,40087,38748,40087,40087,38947,40087,37898,39821,37898,40087,40087,38748,40087,38947,39609,40087,40087,40087,40087
h3U0l83K403,20610 Maulapur Municipality,20610,à¤®à¥Œà¤²à¤¾à¤ªà¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,33397,33397,33361,32590,31869,33361,32594,33397,31157,33397,32594,33397,31869,32594,33361,32590,33397,32590,31157,33361,31869,31157,33397,31869,32594,32594,31869,32590,33397,31157,33397,33361,32594,33397,33397,32594,32590,31157,32590,33397,33397,32590,33397,31157,31157,33361,32594,32594,32590,31157,33397,33397,32590,31869,33361,32594,33397,32594,31869,33397,33397,33397,33397,33361,32590,33397,31157,31157,33361,33361,31869,33397,33361,33397,31869,31869,33397,33397,31869,33397,33397,32590,33397,31157,33361,31157,33397,33397,31869,33397,32590,32594,33397,33397,33397,33397
vCAcmiIFhtz,20611 Baudhimai Municipality,20611,à¤¬à¥Œà¤§à¥€à¤®à¤¾à¤ˆ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,40581,40581,40387,39492,40165,40387,41056,40581,39276,40581,41056,40581,40165,41056,40387,39492,40581,39492,39276,40387,40165,39276,40581,40165,41056,41056,40165,39492,40581,39276,40581,40387,41056,40581,40581,41056,39492,39276,39492,40581,40581,39492,40581,39276,39276,40387,41056,41056,39492,39276,40581,40581,39492,40165,40387,41056,40581,41056,40165,40581,40581,40581,40581,40387,39492,40581,39276,39276,40387,40387,40165,40581,40387,40581,40165,40165,40581,40581,40165,40581,40581,39492,40581,39276,40387,39276,40581,40581,40165,40581,39492,41056,40581,40581,40581,40581
A59slhEIrcI,20612 Paroha Municipality,20612,à¤ªà¤°à¥‹à¤¹à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,47306,47306,48000,46919,45259,48000,46266,47306,44269,47306,46266,47306,45259,46266,48000,46919,47306,46919,44269,48000,45259,44269,47306,45259,46266,46266,45259,46919,47306,44269,47306,48000,46266,47306,47306,46266,46919,44269,46919,47306,47306,46919,47306,44269,44269,48000,46266,46266,46919,44269,47306,47306,46919,45259,48000,46266,47306,46266,45259,47306,47306,47306,47306,48000,46919,47306,44269,44269,48000,48000,45259,47306,48000,47306,45259,45259,47306,47306,45259,47306,47306,46919,47306,44269,48000,44269,47306,47306,45259,47306,46919,46266,47306,47306,47306,47306
wkfdoD1yW8p,20613 Rajpur Municipality,20613,à¤°à¤¾à¤œà¤ªà¥�à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,56091,56091,55996,54594,48863,55996,49915,56091,47825,56091,49915,56091,48863,49915,55996,54594,56091,54594,47825,55996,48863,47825,56091,48863,49915,49915,48863,54594,56091,47825,56091,55996,49915,56091,56091,49915,54594,47825,54594,56091,56091,54594,56091,47825,47825,55996,49915,49915,54594,47825,56091,56091,54594,48863,55996,49915,56091,49915,48863,56091,56091,56091,56091,55996,54594,56091,47825,47825,55996,55996,48863,56091,55996,56091,48863,48863,56091,56091,48863,56091,56091,54594,56091,47825,55996,47825,56091,56091,48863,56091,54594,49915,56091,56091,56091,56091
Zk1F9LswTN9,20614 Yamunamai Rural Municipality,20614,à¤¯à¤®à¥�à¤¨à¤¾à¤®à¤¾à¤ˆ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,26550,26550,29318,28703,28798,29318,29439,26550,28168,26550,29439,26550,28798,29439,29318,28703,26550,28703,28168,29318,28798,28168,26550,28798,29439,29439,28798,28703,26550,28168,26550,29318,29439,26550,26550,29439,28703,28168,28703,26550,26550,28703,26550,28168,28168,29318,29439,29439,28703,28168,26550,26550,28703,28798,29318,29439,26550,29439,28798,26550,26550,26550,26550,29318,28703,26550,28168,28168,29318,29318,28798,26550,29318,26550,28798,28798,26550,26550,28798,26550,26550,28703,26550,28168,29318,28168,26550,26550,28798,26550,28703,29439,26550,26550,26550,26550
XurD1EfINOl,20615 Durga Bhagawati Rural Municipality,20615,à¤¦à¥�à¤°à¥�à¤—à¤¾ à¤­à¤—à¤µà¤¤à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,21286,21286,23745,23298,27883,23745,28522,21286,27263,21286,28522,21286,27883,28522,23745,23298,21286,23298,27263,23745,27883,27263,21286,27883,28522,28522,27883,23298,21286,27263,21286,23745,28522,21286,21286,28522,23298,27263,23298,21286,21286,23298,21286,27263,27263,23745,28522,28522,23298,27263,21286,21286,23298,27883,23745,28522,21286,28522,27883,21286,21286,21286,21286,23745,23298,21286,27263,27263,23745,23745,27883,21286,23745,21286,27883,27883,21286,21286,27883,21286,21286,23298,21286,27263,23745,27263,21286,21286,27883,21286,23298,28522,21286,21286,21286,21286
fAEaFZMuira,20616 Rajdevi Municipality,20616,à¤°à¤¾à¤œà¤¦à¥‡à¤µà¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,37046,37046,38073,37310,37375,38073,38219,37046,36537,37046,38219,37046,37375,38219,38073,37310,37046,37310,36537,38073,37375,36537,37046,37375,38219,38219,37375,37310,37046,36537,37046,38073,38219,37046,37046,38219,37310,36537,37310,37046,37046,37310,37046,36537,36537,38073,38219,38219,37310,36537,37046,37046,37310,37375,38073,38219,37046,38219,37375,37046,37046,37046,37046,38073,37310,37046,36537,36537,38073,38073,37375,37046,38073,37046,37375,37375,37046,37046,37375,37046,37046,37310,37046,36537,38073,36537,37046,37046,37375,37046,37310,38219,37046,37046,37046,37046
URrTfccviIx,20617 Gaur Municipality,20617,à¤—à¥Œà¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,41036,41036,44351,44903,43498,44351,44528,41036,42523,41036,44528,41036,43498,44528,44351,44903,41036,44903,42523,44351,43498,42523,41036,43498,44528,44528,43498,44903,41036,42523,41036,44351,44528,41036,41036,44528,44903,42523,44903,41036,41036,44903,41036,42523,42523,44351,44528,44528,44903,42523,41036,41036,44903,43498,44351,44528,41036,44528,43498,41036,41036,41036,41036,44351,44903,41036,42523,42523,44351,44351,43498,41036,44351,41036,43498,43498,41036,41036,43498,41036,41036,44903,41036,42523,44351,42523,41036,41036,43498,41036,44903,44528,41036,41036,41036,41036
NuyG2c5LEVT,20618 Ishanath Municipality,20618,à¤ˆà¤¶à¤¨à¤¾à¤¥ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,53770,53770,54752,53587,50207,54752,51318,53770,49106,53770,51318,53770,50207,51318,54752,53587,53770,53587,49106,54752,50207,49106,53770,50207,51318,51318,50207,53587,53770,49106,53770,54752,51318,53770,53770,51318,53587,49106,53587,53770,53770,53587,53770,49106,49106,54752,51318,51318,53587,49106,53770,53770,53587,50207,54752,51318,53770,51318,50207,53770,53770,53770,53770,54752,53587,53770,49106,49106,54752,54752,50207,53770,54752,53770,50207,50207,53770,53770,50207,53770,53770,53587,53770,49106,54752,49106,53770,53770,50207,53770,53587,51318,53770,53770,53770,53770
LR6hCfJM3qN,20701 Nijagadh Municipality,20701,à¤¨à¤¿à¤œà¤—à¤¢ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,38909,38909,37183,36674,43560,37183,44444,38909,42694,38909,44444,38909,43560,44444,37183,36674,38909,36674,42694,37183,43560,42694,38909,43560,44444,44444,43560,36674,38909,42694,38909,37183,44444,38909,38909,44444,36674,42694,36674,38909,38909,36674,38909,42694,42694,37183,44444,44444,36674,42694,38909,38909,36674,43560,37183,44444,38909,44444,43560,38909,38909,38909,38909,37183,36674,38909,42694,42694,37183,37183,43560,38909,37183,38909,43560,43560,38909,38909,43560,38909,38909,36674,38909,42694,37183,42694,38909,38909,43560,38909,36674,44444,38909,38909,38909,38909
s81iwIY7rWl,20702 Kolhabi Municipality,20702,à¤•à¥‹à¤²à¥�à¤¹à¤µà¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,52407,52407,47033,46313,53588,47033,54663,52407,52530,52407,54663,52407,53588,54663,47033,46313,52407,46313,52530,47033,53588,52530,52407,53588,54663,54663,53588,46313,52407,52530,52407,47033,54663,52407,52407,54663,46313,52530,46313,52407,52407,46313,52407,52530,52530,47033,54663,54663,46313,52530,52407,52407,46313,53588,47033,54663,52407,54663,53588,52407,52407,52407,52407,47033,46313,52407,52530,52530,47033,47033,53588,52407,47033,52407,53588,53588,52407,52407,53588,52407,52407,46313,52407,52530,47033,52530,52407,52407,53588,52407,46313,54663,52407,52407,52407,52407
MEJFzydYnSx,20703 Jitpur Simara Sub-Metropolitan City,20703,à¤œà¥€à¤¤à¤ªà¥�à¤° à¤¸à¤¿à¤®à¤°à¤¾ à¤‰à¤ªà¤®à¤¹à¤¾à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,132294,132294,121418,119457,143679,121418,146639,132294,140772,132294,146639,132294,143679,146639,121418,119457,132294,119457,140772,121418,143679,140772,132294,143679,146639,146639,143679,119457,132294,140772,132294,121418,146639,132294,132294,146639,119457,140772,119457,132294,132294,119457,132294,140772,140772,121418,146639,146639,119457,140772,132294,132294,119457,143679,121418,146639,132294,146639,143679,132294,132294,132294,132294,121418,119457,132294,140772,140772,121418,121418,143679,132294,121418,132294,143679,143679,132294,132294,143679,132294,132294,119457,132294,140772,121418,140772,132294,132294,143679,132294,119457,146639,132294,132294,132294,132294
KvtJex2PPNq,20704 Parawanipur Rural Municipality,20704,à¤ªà¤°à¤µà¤¾à¤¨à¥€à¤ªà¥�à¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,24948,24948,22964,22535,27078,22964,27628,24948,26534,24948,27628,24948,27078,27628,22964,22535,24948,22535,26534,22964,27078,26534,24948,27078,27628,27628,27078,22535,24948,26534,24948,22964,27628,24948,24948,27628,22535,26534,22535,24948,24948,22535,24948,26534,26534,22964,27628,27628,22535,26534,24948,24948,22535,27078,22964,27628,24948,27628,27078,24948,24948,24948,24948,22964,22535,24948,26534,26534,22964,22964,27078,24948,22964,24948,27078,27078,24948,24948,27078,24948,24948,22535,24948,26534,22964,26534,24948,24948,27078,24948,22535,27628,24948,24948,24948,24948
f8gKN9sAiDz,20705 Prasauni Rural Municipality,20705,à¤ªà¥�à¤°à¤¸à¥Œà¤¨à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,25758,25758,22251,21817,29715,22251,30310,25758,29127,25758,30310,25758,29715,30310,22251,21817,25758,21817,29127,22251,29715,29127,25758,29715,30310,30310,29715,21817,25758,29127,25758,22251,30310,25758,25758,30310,21817,29127,21817,25758,25758,21817,25758,29127,29127,22251,30310,30310,21817,29127,25758,25758,21817,29715,22251,30310,25758,30310,29715,25758,25758,25758,25758,22251,21817,25758,29127,29127,22251,22251,29715,25758,22251,25758,29715,29715,25758,25758,29715,25758,25758,21817,25758,29127,22251,29127,25758,25758,29715,25758,21817,30310,25758,25758,25758,25758
RIv1xNHjjNt,20706 Bishrampur Rural Municipality,20706,à¤µà¤¿à¤¶à¥�à¤°à¤¾à¤®à¤ªà¥�à¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,25148,25148,24461,23968,28190,24461,28773,25148,27614,25148,28773,25148,28190,28773,24461,23968,25148,23968,27614,24461,28190,27614,25148,28190,28773,28773,28190,23968,25148,27614,25148,24461,28773,25148,25148,28773,23968,27614,23968,25148,25148,23968,25148,27614,27614,24461,28773,28773,23968,27614,25148,25148,23968,28190,24461,28773,25148,28773,28190,25148,25148,25148,25148,24461,23968,25148,27614,27614,24461,24461,28190,25148,24461,25148,28190,28190,25148,25148,28190,25148,25148,23968,25148,27614,24461,27614,25148,25148,28190,25148,23968,28773,25148,25148,25148,25148
luYHLAcmJxy,20707 Pheta Rural Municipality,20707,à¤«à¥‡à¤Ÿà¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,28765,28765,29680,29026,30254,29680,30856,28765,29659,28765,30856,28765,30254,30856,29680,29026,28765,29026,29659,29680,30254,29659,28765,30254,30856,30856,30254,29026,28765,29659,28765,29680,30856,28765,28765,30856,29026,29659,29026,28765,28765,29026,28765,29659,29659,29680,30856,30856,29026,29659,28765,28765,29026,30254,29680,30856,28765,30856,30254,28765,28765,28765,28765,29680,29026,28765,29659,29659,29680,29680,30254,28765,29680,28765,30254,30254,28765,28765,30254,28765,28765,29026,28765,29659,29680,29659,28765,28765,30254,28765,29026,30856,28765,28765,28765,28765
elTl9yVygGH,20708 Kalaiya Sub-Metropolitan City,20708,à¤•à¤²à¥ˆà¤¯à¤¾ à¤‰à¤ªà¤®à¤¹à¤¾à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,140372,140372,145192,142913,146821,145192,149795,140372,143898,140372,149795,140372,146821,149795,145192,142913,140372,142913,143898,145192,146821,143898,140372,146821,149795,149795,146821,142913,140372,143898,140372,145192,149795,140372,140372,149795,142913,143898,142913,140372,140372,142913,140372,143898,143898,145192,149795,149795,142913,143898,140372,140372,142913,146821,145192,149795,140372,149795,146821,140372,140372,140372,140372,145192,142913,140372,143898,143898,145192,145192,146821,140372,145192,140372,146821,146821,140372,140372,146821,140372,140372,142913,140372,143898,145192,143898,140372,140372,146821,140372,142913,149795,140372,140372,140372,140372
