organisationunitid,organisationunitname,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
fvN7GZvNAOB,6 Karnali Province,6,25.0,43.0,19.0,34.0,39.0,35.0,33.0,28.0,51.0,67.0,35.0,10.0,18.0,27.0,14.0,9.0,36.0,17.0,43.0,25.0,96.0,49.0,11.0,6.0,92.0,10.0,11.0,12.0,4.0,7.0,4.0,15.0,4.0,47.0,60.0,32.0,35.0,30.0,98.0,39.0,56.0,92.0,150.0,56.0,2.0,3.0,11.0,2.0,5.0,4.0,4.0,0,8.0,1.0,2.0,4.0,16.0,11.0,9.0,0,3.0,1.0,0,1.0,19.0,21.0,9.0,13.0,37.0,16.0,19.0,11.0,19.0,20.0,24.0,13.0,5.0,3.0,6.0,2.0,8.0,16.0,7.0,10.0,12.0,10.0,0,0,2.0,0,0,0,6.0,1.0,0,0,2.0,4.0,4.0,3.0,1.0,2.0,6.0,4.0,0,1.0,10.0,0,2.0,11.0,3.0,2.0,2.0,2.0,0,0,0,38.0,38.0,53.0,24.0,42.0,39.0,40.0,67.0,85.0,87.0,303.0
RVc3XoVoNRf,1 Koshi Province,1,96.0,95.0,127.0,298.0,190.0,198.0,1594.0,311.0,346.0,326.0,602.0,56.0,92.0,84.0,126.0,83.0,219.0,300.0,386.0,265.0,450.0,93.0,28.0,26.0,48.0,64.0,51.0,32.0,122.0,212.0,145.0,115.0,152.0,112.0,101.0,97.0,98.0,180.0,270.0,199.0,502.0,308.0,575.0,400.0,8.0,19.0,14.0,39.0,42.0,53.0,103.0,131.0,129.0,155.0,3.0,14.0,23.0,33.0,14.0,29.0,47.0,62.0,63.0,85.0,67.0,92.0,114.0,99.0,144.0,109.0,178.0,209.0,200.0,224.0,191.0,45.0,36.0,41.0,25.0,39.0,128.0,159.0,386.0,220.0,300.0,165.0,3.0,15.0,1.0,4.0,6.0,15.0,13.0,26.0,50.0,41.0,16.0,24.0,14.0,20.0,18.0,45.0,119.0,171.0,169.0,116.0,125.0,8.0,10.0,8.0,10.0,14.0,20.0,22.0,56.0,56.0,61.0,92.0,162.0,175.0,149.0,94.0,275.0,290.0,481.0,380.0,678.0,1967.0
wtU6v09Kbe0,7 Sudurpashchim Province,7,47.0,47.0,33.0,33.0,217.0,40.0,35.0,52.0,44.0,79.0,67.0,40.0,42.0,14.0,17.0,20.0,31.0,52.0,25.0,76.0,37.0,33.0,22.0,9.0,32.0,1.0,39.0,10.0,3.0,6.0,11.0,17.0,13.0,89.0,82.0,65.0,53.0,32.0,23.0,40.0,41.0,67.0,53.0,73.0,9.0,4.0,0,3.0,2.0,0,8.0,13.0,11.0,6.0,10.0,1.0,9.0,0,2.0,2.0,23.0,1.0,13.0,41.0,44.0,23.0,41.0,21.0,10.0,33.0,9.0,7.0,4.0,20.0,46.0,3.0,185.0,7.0,31.0,10.0,15.0,21.0,4.0,66.0,45.0,15.0,0,1.0,22.0,0,2.0,0,14.0,1.0,0,10.0,1.0,6.0,2.0,5.0,3.0,13.0,3.0,1.0,9.0,2.0,22.0,0,0,21.0,2.0,1.0,3.0,0,1.0,0,1.0,83.0,76.0,40.0,48.0,53.0,34.0,52.0,41.0,55.0,99.0,299.0
a6W190BanBu,2 Madhesh Province,2,113.0,198.0,331.0,224.0,80.0,183.0,144.0,223.0,354.0,226.0,440.0,191.0,145.0,494.0,150.0,56.0,90.0,392.0,148.0,410.0,227.0,39.0,272.0,105.0,350.0,167.0,156.0,59.0,27.0,45.0,166.0,127.0,161.0,266.0,253.0,74.0,173.0,282.0,126.0,131.0,171.0,505.0,181.0,99.0,114.0,169.0,68.0,82.0,68.0,43.0,135.0,87.0,102.0,57.0,51.0,124.0,11.0,37.0,54.0,23.0,76.0,108.0,63.0,14.0,339.0,189.0,245.0,229.0,47.0,255.0,64.0,183.0,182.0,155.0,108.0,126.0,317.0,57.0,158.0,46.0,61.0,198.0,183.0,309.0,124.0,57.0,23.0,8.0,185.0,82.0,5.0,17.0,12.0,91.0,27.0,5.0,38.0,22.0,26.0,23.0,27.0,17.0,92.0,165.0,124.0,112.0,44.0,29.0,15.0,6.0,3.0,6.0,10.0,37.0,54.0,102.0,46.0,190.0,269.0,230.0,162.0,179.0,138.0,164.0,98.0,305.0,230.0,395.0
hi16ZuHEWaY,3 Bagmati Province,3,178.0,368.0,122.0,169.0,119.0,151.0,162.0,138.0,195.0,302.0,239.0,114.0,73.0,90.0,106.0,79.0,136.0,85.0,192.0,186.0,187.0,131.0,35.0,16.0,41.0,19.0,32.0,30.0,37.0,31.0,57.0,44.0,126.0,164.0,96.0,354.0,126.0,132.0,155.0,105.0,130.0,185.0,169.0,176.0,4.0,25.0,60.0,15.0,30.0,9.0,15.0,42.0,14.0,23.0,12.0,3.0,17.0,27.0,10.0,4.0,4.0,35.0,20.0,76.0,152.0,103.0,67.0,75.0,78.0,108.0,75.0,79.0,95.0,195.0,198.0,50.0,35.0,34.0,19.0,26.0,69.0,28.0,77.0,71.0,83.0,79.0,15.0,6.0,7.0,5.0,5.0,6.0,22.0,13.0,10.0,20.0,20.0,3.0,19.0,4.0,18.0,7.0,11.0,21.0,22.0,95.0,64.0,19.0,14.0,10.0,4.0,7.0,7.0,177.0,62.0,11.0,25.0,164.0,134.0,138.0,132.0,137.0,169.0,137.0,175.0,172.0,224.0,840.0
Zx3boDXh1Q5,5 Lumbini Province,5,196.0,640.0,211.0,222.0,82.0,258.0,396.0,767.0,654.0,233.0,749.0,124.0,163.0,187.0,118.0,232.0,401.0,504.0,284.0,176.0,364.0,316.0,53.0,30.0,90.0,62.0,48.0,80.0,72.0,215.0,46.0,35.0,110.0,177.0,270.0,254.0,176.0,541.0,525.0,731.0,545.0,475.0,418.0,423.0,22.0,33.0,35.0,19.0,44.0,54.0,196.0,111.0,16.0,41.0,28.0,15.0,11.0,21.0,25.0,25.0,33.0,61.0,4.0,20.0,134.0,126.0,144.0,162.0,106.0,66.0,247.0,408.0,273.0,97.0,355.0,33.0,104.0,116.0,36.0,174.0,186.0,285.0,152.0,59.0,119.0,107.0,43.0,22.0,22.0,3.0,8.0,8.0,18.0,14.0,3.0,3.0,16.0,31.0,17.0,4.0,63.0,46.0,76.0,39.0,8.0,30.0,38.0,5.0,16.0,11.0,6.0,7.0,18.0,21.0,11.0,5.0,84.0,214.0,299.0,194.0,203.0,122.0,498.0,510.0,578.0,377.0,548.0,1632.0
GvgqqErqwFP,4 Gandaki Province,4,135.0,286.0,143.0,179.0,200.0,183.0,213.0,266.0,293.0,267.0,310.0,147.0,240.0,163.0,159.0,130.0,198.0,285.0,212.0,223.0,224.0,171.0,43.0,33.0,31.0,34.0,92.0,59.0,52.0,84.0,71.0,60.0,113.0,161.0,227.0,178.0,217.0,201.0,319.0,221.0,218.0,267.0,218.0,225.0,34.0,19.0,21.0,19.0,22.0,53.0,46.0,19.0,44.0,65.0,12.0,3.0,6.0,16.0,9.0,27.0,15.0,13.0,19.0,10.0,87.0,168.0,101.0,176.0,108.0,216.0,148.0,228.0,85.0,153.0,175.0,52.0,109.0,39.0,47.0,78.0,128.0,73.0,86.0,66.0,125.0,98.0,13.0,6.0,8.0,9.0,3.0,18.0,3.0,19.0,3.0,14.0,19.0,41.0,27.0,5.0,19.0,32.0,30.0,47.0,22.0,48.0,31.0,22.0,14.0,29.0,7.0,4.0,18.0,9.0,1.0,10.0,36.0,223.0,315.0,115.0,243.0,262.0,230.0,287.0,278.0,320.0,304.0,1053.0
