organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
O5p5idrXdiw,112 MORANG,1 Koshi Province,1,112,12.0,15.0,44.0,54.0,20.0,1.0,10.0,19.0,6.0,81.0,116.0,0,34.0,32.0,32.0,18.0,9.0,21.0,11.0,39.0,76.0,26.0,10.0,10.0,11.0,23.0,16.0,6.0,31.0,1.0,7.0,47.0,51.0,23.0,31.0,32.0,26.0,57.0,17.0,18.0,8.0,11.0,89.0,71.0,0,9.0,9.0,11.0,8.0,5.0,6.0,30.0,36.0,38.0,0,2.0,9.0,6.0,8.0,4.0,1.0,3.0,1.0,2.0,18.0,8.0,18.0,31.0,19.0,9.0,7.0,14.0,10.0,64.0,50.0,23.0,15.0,22.0,11.0,6.0,5.0,7.0,10.0,36.0,45.0,19.0,0,7.0,0,2.0,2.0,2.0,0,1.0,0,3.0,2.0,19.0,13.0,19.0,3.0,4.0,16.0,4.0,26.0,7.0,9.0,0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,0,3.0,23.0,60.0,74.0,73.0,0,13.0,23.0,52.0,14.0,90.0,415.0
jJmNryYp6Mc,602 MUGU,6 Karnali Province,6,602,0,0,0,0,1.0,0,0,0,2.0,0,2.0,0,0,0,0,0,2.0,0,1.0,0,1.0,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0,1.0,0,3.0
bX87SmYR3TJ,202 SIRAHA,2 Madhesh Province,2,202,0,0,53.0,63.0,0,64.0,57.0,76.0,11.0,5.0,8.0,0,1.0,35.0,32.0,32.0,21.0,28.0,7.0,0,0,0,0,0,3.0,0,9.0,26.0,16.0,29.0,7.0,15.0,11.0,0,0,11.0,76.0,28.0,0,47.0,0,11.0,11.0,0,0,0,19.0,8.0,18.0,8.0,5.0,0,8.0,16.0,10.0,0,0,1.0,5.0,8.0,5.0,0,11.0,0,0,0,24.0,6.0,20.0,23.0,18.0,40.0,8.0,0,9.0,0,0,35.0,28.0,15.0,29.0,30.0,10.0,4.0,0,0,5.0,0,11.0,82.0,1.0,7.0,0,0,2.0,0,0,0,7.0,8.0,24.0,9.0,19.0,0,11.0,0,0,0,0,0,0,2.0,0,4.0,0,5.0,0,0,10.0,82.0,42.0,54.0,2.0,54.0,15.0,13.0,0,2.0
rsZaqJl5R0A,312 MAKWANPUR,3 Bagmati Province,3,312,8.0,8.0,6.0,5.0,5.0,1.0,4.0,3.0,2.0,20.0,9.0,3.0,4.0,3.0,9.0,1.0,1.0,0,58.0,6.0,4.0,8.0,0,0,1.0,3.0,1.0,0,2.0,1.0,0,4.0,1.0,2.0,1.0,6.0,5.0,2.0,3.0,3.0,6.0,8.0,14.0,12.0,1.0,7.0,0,1.0,1.0,0,0,0,1.0,1.0,0,1.0,0,2.0,0,0,0,17.0,0,0,2.0,2.0,5.0,4.0,5.0,3.0,9.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,7.0,0,0,0,0,0,2.0,1.0,0,0,0,5.0,5.0,13.0,10.0,2.0,8.0,3.0,4.0,6.0,17.0,55.0
JBTkOU5m0Bu,702 BAJHANG,7 Sudurpashchim Province,7,702,3.0,1.0,0,2.0,10.0,0,0,6.0,1.0,7.0,1.0,2.0,1.0,0,1.0,6.0,2.0,5.0,0,6.0,5.0,1.0,0,0,0,0,0,0,0,0,0,1.0,2.0,7.0,1.0,8.0,10.0,3.0,2.0,2.0,10.0,11.0,1.0,4.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,1.0,1.0,0,1.0,1.0,1.0,4.0,1.0,0,0,0,0,1.0,7.0,0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,5.0,17.0,2.0,3.0,3.0,3.0,17.0,17.0
wYKHZ0iyjfd,512 BARDIYA,5 Lumbini Province,5,512,0,1.0,7.0,19.0,6.0,0,3.0,1.0,1.0,1.0,1.0,0,0,5.0,3.0,0,8.0,6.0,0,0,1.0,0,0,0,18.0,11.0,7.0,0,0,1.0,0,0,0,0,0,1.0,28.0,43.0,3.0,13.0,1.0,0,0,0,0,5.0,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,13.0,0,5.0,2.0,1.0,0,0,0,0,3.0,0,1.0,3.0,1.0,0,0,0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,17.0,40.0,0,1.0,1.0,1.0,1.0,0,4.0
LnJ8MTOmgGa,105 KHOTANG,1 Koshi Province,1,105,6.0,25.0,1.0,6.0,11.0,7.0,7.0,3.0,3.0,7.0,9.0,4.0,0,0,3.0,2.0,6.0,4.0,1.0,3.0,7.0,1.0,0,0,2.0,2.0,1.0,1.0,1.0,0,0,0,0,1.0,3.0,9.0,4.0,6.0,5.0,3.0,2.0,8.0,8.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,3.0,9.0,2.0,14.0,24.0,3.0,0,3.0,2.0,4.0,1.0,3.0,5.0,0,0,2.0,4.0,1.0,2.0,1.0,0,0,8.0,1.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,15.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,6.0,3.0,22.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,21.0,21.0
grMJpaDdSrD,114 UDAYAPUR,1 Koshi Province,1,114,23.0,24.0,16.0,17.0,77.0,36.0,15.0,24.0,92.0,73.0,48.0,15.0,8.0,7.0,43.0,33.0,0,23.0,29.0,26.0,46.0,17.0,2.0,5.0,1.0,25.0,26.0,10.0,4.0,12.0,5.0,6.0,12.0,28.0,9.0,8.0,30.0,43.0,41.0,12.0,39.0,37.0,36.0,12.0,0,2.0,3.0,20.0,7.0,6.0,15.0,4.0,11.0,11.0,0,0,0,4.0,2.0,5.0,2.0,7.0,0,1.0,5.0,8.0,23.0,37.0,55.0,28.0,17.0,26.0,23.0,38.0,16.0,8.0,6.0,2.0,4.0,13.0,2.0,17.0,28.0,10.0,17.0,11.0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,1.0,0,1.0,0,5.0,10.0,5.0,4.0,5.0,2.0,1.0,0,0,2.0,0,0,2.0,0,6.0,7.0,13.0,16.0,34.0,51.0,33.0,30.0,31.0,53.0,63.0,117.0
ycBkX3TlIrL,606 DAILEKH,6 Karnali Province,6,606,0,5.0,3.0,7.0,6.0,10.0,7.0,0,13.0,1.0,5.0,1.0,6.0,0,0,5.0,5.0,1.0,4.0,3.0,3.0,4.0,1.0,0,0,0,0,5.0,0,0,0,1.0,0,4.0,6.0,8.0,21.0,3.0,11.0,1.0,9.0,3.0,34.0,1.0,0,0,7.0,0,0,1.0,0,0,0,0,0,0,1.0,0,9.0,0,0,0,0,0,2.0,1.0,2.0,0,3.0,3.0,1.0,0,0,2.0,4.0,0,0,1.0,0,0,2.0,1.0,2.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,1.0,5.0,26.0,4.0,8.0,11.0,7.0,7.0,32.0,9.0,20.0
qoayxucpZqH,403 MUSTANG,4 Gandaki Province,4,403,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0
ebbAyOhorzo,507 NAWALPARASI WEST,5 Lumbini Province,5,507,91.0,77.0,47.0,57.0,0,0,0,73.0,71.0,0,0,57.0,28.0,27.0,42.0,0,0,0,36.0,12.0,19.0,0,31.0,18.0,20.0,15.0,7.0,5.0,5.0,25.0,4.0,1.0,0,63.0,55.0,54.0,25.0,9.0,17.0,7.0,0,17.0,0,0,16.0,12.0,15.0,8.0,4.0,0,10.0,15.0,5.0,0,11.0,0,3.0,5.0,0,0,0,0,0,0,60.0,58.0,42.0,39.0,20.0,0,0,63.0,18.0,0,58.0,19.0,30.0,35.0,14.0,0,1.0,1.0,19.0,9.0,0,0,2.0,3.0,2.0,1.0,0,0,0,0,0,0,6.0,7.0,6.0,1.0,0,0,0,0,1.0,7.0,0,0,3.0,4.0,1.0,0,0,0,0,2.0,0,87.0,63.0,11.0,17.0,0,9.0,7.0,66.0,78.0,0,60.0
GnpIwWbdxdl,707 ACHHAM,7 Sudurpashchim Province,7,707,2.0,9.0,4.0,1.0,6.0,0,4.0,0,2.0,4.0,2.0,7.0,9.0,1.0,0,3.0,4.0,18.0,1.0,4.0,3.0,3.0,0,0,0,0,0,1.0,1.0,0,0,0,1.0,0,8.0,8.0,0,15.0,12.0,14.0,3.0,2.0,3.0,16.0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,5.0,6.0,2.0,0,1.0,2.0,2.0,0,1.0,0,0,151.0,1.0,0,1.0,1.0,2.0,0,0,14.0,0,0,0,0,0,2.0,0,1.0,1.0,0,0,0,1.0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,9.0,6.0,7.0,0,11.0,7.0,3.0,1.0,13.0,35.0
QfZ2pVPRFmz,304 DHADING,3 Bagmati Province,3,304,14.0,10.0,9.0,7.0,13.0,15.0,9.0,4.0,14.0,25.0,14.0,7.0,22.0,21.0,12.0,10.0,13.0,9.0,9.0,8.0,24.0,11.0,1.0,1.0,4.0,1.0,3.0,7.0,3.0,3.0,3.0,2.0,1.0,13.0,15.0,19.0,12.0,13.0,18.0,17.0,17.0,13.0,21.0,20.0,0,1.0,0,1.0,4.0,0,0,9.0,1.0,1.0,0,0,15.0,0,1.0,0,0,0,0,49.0,5.0,4.0,10.0,7.0,6.0,12.0,1.0,7.0,13.0,8.0,15.0,2.0,5.0,8.0,4.0,1.0,4.0,1.0,4.0,3.0,12.0,9.0,1.0,0,0,0,2.0,0,1.0,1.0,0,0,1.0,1.0,1.0,0,1.0,1.0,0,2.0,1.0,1.0,2.0,0,1.0,1.0,0,4.0,0,0,0,0,1.0,12.0,19.0,20.0,6.0,16.0,24.0,18.0,22.0,16.0,31.0,78.0
q7VB2VrUr83,404 MYAGDI,4 Gandaki Province,4,404,0,2.0,7.0,15.0,11.0,9.0,6.0,5.0,7.0,5.0,6.0,4.0,2.0,3.0,3.0,5.0,6.0,5.0,2.0,2.0,5.0,3.0,0,0,1.0,2.0,1.0,1.0,0,0,0,0,0,3.0,7.0,5.0,4.0,7.0,7.0,7.0,6.0,9.0,9.0,4.0,0,0,1.0,1.0,0,0,1.0,0,0,1.0,0,0,0,3.0,0,0,0,0,0,0,2.0,1.0,2.0,7.0,13.0,2.0,3.0,4.0,3.0,1.0,1.0,0,0,1.0,1.0,0,0,3.0,7.0,2.0,0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,2.0,3.0,0,0,0,0,0,0,1.0,11.0,6.0,23.0,11.0,4.0,6.0,8.0,4.0,6.0,12.0
EXKX4gJ9D6Y,205 SARLAHI,2 Madhesh Province,2,205,0,0,0,0,21.0,10.0,12.0,19.0,27.0,77.0,26.0,89.0,0,0,14.0,20.0,21.0,14.0,2.0,80.0,101.0,0,51.0,45.0,36.0,0,9.0,10.0,6.0,5.0,3.0,45.0,85.0,123.0,0,0,11.0,0,13.0,15.0,11.0,180.0,85.0,1.0,29.0,42.0,0,8.0,10.0,6.0,8.0,2.0,33.0,4.0,10.0,0,0,2.0,3.0,0,5.0,0,3.0,5.0,120.0,79.0,94.0,0,14.0,7.0,13.0,18.0,10.0,99.0,26.0,36.0,0,0,8.0,9.0,9.0,7.0,5.0,44.0,52.0,0,6.0,0,0,0,1.0,0,0,2.0,4.0,3.0,8.0,0,0,5.0,1.0,8.0,1.0,0,21.0,0,0,0,0,0,2.0,0,0,3.0,10.0,10.0,35.0,127.0,0,49.0,17.0,27.0,35.0,20.0,0,0,114.0,1.0
t9XsLKdMwA1,709 KANCHANPUR,7 Sudurpashchim Province,7,709,5.0,0,0,9.0,5.0,7.0,14.0,5.0,13.0,10.0,32.0,7.0,0,0,0,0,6.0,5.0,5.0,20.0,12.0,8.0,0,0,0,0,0,4.0,0,0,0,2.0,3.0,0,0,11.0,9.0,0,0,6.0,4.0,8.0,4.0,16.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,1.0,2.0,0,0,2.0,0,1.0,0,5.0,2.0,4.0,0,0,0,2.0,11.0,0,0,0,1.0,0,0,5.0,0,3.0,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,1.0,2.0,0,8.0,7.0,5.0,0,15.0,5.0,12.0,2.0,67.0
HfIRB3HRHvk,307 BHAKTAPUR,3 Bagmati Province,3,307,0,0,0,0,1.0,2.0,1.0,2.0,1.0,3.0,0,0,0,0,0,0,1.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1.0,0,0,1.0,1.0,4.0,0,0,18.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,1.0,2.0,0,2.0,0,1.0,0,0,3.0,1.0,1.0,0,2.0,0,3.0,0,0,0,0,0,1.0,0,0,1.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,1.0,0,2.0,5.0,1.0,10.0
P53hVYydxdc,607 JAJARKOT,6 Karnali Province,6,607,1.0,1.0,0,1.0,15.0,2.0,3.0,5.0,0,8.0,0,1.0,0,0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0,0,0,8.0,1.0,1.0,1.0,0,3.0,0,0,2.0,1.0,0,1.0,20.0,2.0,3.0,1.0,7.0,2.0,1.0,0,0,0,0,0,3.0,0,5.0,0,0,0,0,0,0,0,3.0,1.0,0,0,1.0,0,0,0,15.0,0,3.0,2.0,2.0,4.0,0,0,0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,2.0,2.0,2.0,4.0,3.0,9.0,0,0,14.0
hasbXH0dTqM,106 BHOJPUR,1 Koshi Province,1,106,7.0,6.0,6.0,3.0,5.0,6.0,2.0,4.0,7.0,3.0,5.0,6.0,4.0,5.0,7.0,2.0,4.0,3.0,2.0,1.0,4.0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,6.0,10.0,0,4.0,5.0,6.0,4.0,2.0,3.0,7.0,12.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,17.0,5.0,1.0,8.0,4.0,3.0,15.0,3.0,2.0,1.0,6.0,3.0,0,1.0,0,1.0,0,2.0,0,0,0,3.0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,11.0,5.0,6.0,6.0,0,4.0,3.0,1.0,4.0,7.0,27.0
bWmwn3sMsG0,506 PALPA,5 Lumbini Province,5,506,50.0,73.0,37.0,66.0,38.0,24.0,60.0,65.0,4.0,47.0,41.0,34.0,47.0,58.0,51.0,32.0,63.0,54.0,1.0,54.0,67.0,43.0,17.0,4.0,29.0,12.0,23.0,16.0,8.0,18.0,0,5.0,5.0,68.0,78.0,73.0,60.0,76.0,44.0,52.0,12.0,67.0,90.0,55.0,2.0,2.0,10.0,10.0,5.0,5.0,15.0,0,4.0,3.0,1.0,0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,27.0,27.0,42.0,33.0,38.0,16.0,41.0,30.0,2.0,28.0,23.0,8.0,17.0,25.0,12.0,46.0,23.0,20.0,0,22.0,19.0,23.0,0,1.0,2.0,1.0,0,0,1.0,0,0,0,3.0,2.0,1.0,0,9.0,1.0,2.0,0,3.0,3.0,3.0,1.0,1.0,3.0,0,2.0,0,0,0,0,0,34.0,76.0,65.0,48.0,62.0,41.0,56.0,7.0,95.0,48.0,236.0
RSAZqrdfXy5,708 KAILALI,7 Sudurpashchim Province,7,708,17.0,10.0,0,1.0,0,0,0,2.0,0,15.0,16.0,8.0,12.0,0,0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,12.0,3.0,0,0,0,0,1.0,2.0,0,0,0,27.0,30.0,0,12.0,1.0,0,1.0,3.0,3.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,9.0,0,0,0,0,0,13.0,25.0,18.0,5.0,16.0,0,0,3.0,0,0,0,1.0,15.0,2.0,18.0,0,0,0,8.0,1.0,0,3.0,0,3.0,0,1.0,0,0,0,0,1.0,0,0,6.0,0,3.0,1.0,0,0,3.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,33.0,0,1.0,0,3.0,0,0,1.0,17.0,44.0
