organisationunitid,organisationunitname,district_name,district_code,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
fZ3LDhJyCuw,30902 Bhumlu Rural Municipality,309 KAVREPALANCHOK,309,3 Bagmati Province,3,30902,1.0,0,1.0,0,3.0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,5.0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,11.0,0,0,1.0,0,0,1.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,1.0,1.0,2.0
UOfRfLoQcDc,41004 Phalebas Municipality,410 PARBAT,410,4 Gandaki Province,4,41004,0,1.0,0,0,4.0,0,0,0,0,0,2.0,3.0,2.0,0,4.0,2.0,0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,0,0,2.0,4.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,3.0,0,6.0,0,1.0,0,4.0,4.0,1.0,0
QtO7FHYoYFL,11401 Belaka Municipality,114 UDAYAPUR,114,1 Koshi Province,1,11401,0,0,0,7.0,21.0,42.0,25.0,30.0,34.0,33.0,32.0,0,0,0,0,22.0,0,24.0,48.0,31.0,62.0,21.0,0,0,0,5.0,0,11.0,6.0,7.0,5.0,8.0,12.0,0,0,0,0,18.0,35.0,22.0,58.0,38.0,44.0,0,0,0,0,0,3.0,5.0,11.0,4.0,11.0,11.0,0,0,0,0,2.0,5.0,2.0,6.0,0,1.0,0,1.0,1.0,10.0,22.0,20.0,20.0,25.0,30.0,23.0,16.0,0,0,0,0,13.0,0,18.0,32.0,11.0,28.0,15.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,9.0,2.0,7.0,8.0,5.0,0,0,0,0,2.0,0,0,2.0,0,6.0,0,2.0,0,0,20.0,36.0,40.0,31.0,29.0,64.0,95.0
eVhFBYrBC9Y,30206 Indrawoti Rural Municipality,302 SINDHUPALCHOK,302,3 Bagmati Province,3,30206,0,0,0,1.0,0,2.0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,3.0,0,0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,5.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,4.0,1.0,0,2.0,5.0,9.0
dcsJaeSXHa6,10103 Meringden Rural Municipality,101 TAPLEJUNG,101,1 Koshi Province,1,10103,0,0,1.0,2.0,1.0,2.0,1.0,0,0,1.0,0,2.0,1.0,2.0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,3.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,4.0,0,2.0
uxG1PtRsuGp,50906 Maharajganj Municipality,509 KAPILBASTU,509,5 Lumbini Province,5,50906,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0
MEJFzydYnSx,20703 Jitpur Simara Sub-Metropolitan City,207 BARA,207,2 Madhesh Province,2,20703,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hkYy0OSJtes,30503 Suryagadhi Rural Municipality,305 NUWAKOT,305,3 Bagmati Province,3,30503,1.0,0,0,0,4.0,0,0,0,0,2.0,0,0,1.0,0,0,0,2.0,0,0,0,1.0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,2.0
n22NGxaQxai,11112 Birtamod Municipality,111 JHAPA,111,1 Koshi Province,1,11112,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
RYcEcFRtMjF,70403 Puchaundi Municipality,704 BAITADI,704,7 Sudurpashchim Province,7,70403,0,0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0
