organisationunitid,organisationunitname,district_name,district_code,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
hnu4RFrMbXo,10403 Molung Rural Municipality,104 OKHALDHUNGA,104,1 Koshi Province,1,10403,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
N7UbKeswOXG,70805 Ghodaghodi Municipality,708 KAILALI,708,7 Sudurpashchim Province,7,70805,8.0,0,6.0,0,0,0,0,0,0,0,0,6.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0,0,14.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,2.0,0
LR6hCfJM3qN,20701 Nijagadh Municipality,207 BARA,207,2 Madhesh Province,2,20701,16.0,49.0,23.0,21.0,0,30.0,0,27.0,0,48.0,35.0,14.0,21.0,10.0,15.0,0,19.0,22.0,0,41.0,57.0,31.0,0,1.0,2.0,32.0,9.0,19.0,0,0,29.0,17.0,0,18.0,40.0,0,29.0,24.0,28.0,0,0,34.0,0,38.0,1.0,1.0,0,4.0,5.0,7.0,0,0,12.0,0,6.0,0,3.0,1.0,6.0,3.0,0,4.0,1.0,0,0,0,26.0,24.0,10.0,33.0,0,0,65.0,25.0,0,16.0,22.0,7.0,9.0,16.0,13.0,10.0,0,17.0,0,23.0,1.0,0,2.0,0,2.0,2.0,0,0,3.0,0,0,4.0,4.0,0,0,0,0,0,6.0,16.0,0,4.0,3.0,4.0,0,4.0,4.0,0,0,0,4.0,18.0,30.0,26.0,34.0,9.0,33.0,43.0,0,0,59.0,92.0
d3rNnxwAscv,70211 Thalara Rural Municipality,702 BAJHANG,702,7 Sudurpashchim Province,7,70211,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
aM55chvJhun,40601 Dordi Rural Municipality,406 LAMJUNG,406,4 Gandaki Province,4,40601,0,0,2.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,2.0,0,0,1.0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,1.0
i9OaLRO8kUl,11301 Dharan Sub-Metropolitan City,113 SUNSARI,113,1 Koshi Province,1,11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vTlkJzpiQKs,50206 Tribeni Rural Municipality,502 ROLPA,502,5 Lumbini Province,5,50206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,5.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,3.0,1.0,0,0,0,2.0
gtToi9UsdzQ,41110 Jaimuni Municipality,411 BAGLUNG,411,4 Gandaki Province,4,41110,0,4.0,1.0,0,0,0,0,1.0,2.0,0,1.0,2.0,0,1.0,3.0,0,1.0,0,2.0,2.0,2.0,0,1.0,0,0,0,1.0,1.0,1.0,0,0,0,0,2.0,1.0,3.0,1.0,0,0,0,8.0,2.0,0,6.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,1.0,5.0,4.0,4.0,0,0,1.0,2.0,0,0,1.0,2.0,1.0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,3.0,2.0,1.0,0,4.0,0,2.0,4.0,8.0
NuyG2c5LEVT,20618 Ishanath Municipality,206 RAUTAHAT,206,2 Madhesh Province,2,20618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8qQLRVW1V6,31206 Hetauda Sub-Metropolitan City,312 MAKWANPUR,312,3 Bagmati Province,3,31206,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,1.0,1.0
Pc2z0fGNT4Y,30510 Panchakanya Rural Municipality,305 NUWAKOT,305,3 Bagmati Province,3,30510,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,1.0,0,0
d7E7YIncDUK,41007 Paiyu Rural Municipality,410 PARBAT,410,4 Gandaki Province,4,41007,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,1.0,0,1.0,1.0,2.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,4.0,9.0
qNdDbnter5g,50103 Bhoome Rural Municipality,501 RUKUM EAST,501,5 Lumbini Province,5,50103,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,5.0,0,0,1.0,0
tpsweQ66cIn,20716 Subarna Rural Municipality,207 BARA,207,2 Madhesh Province,2,20716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mQLICcbzzGj,10209 Madi Municipality,102 SANKHUWASABHA,102,1 Koshi Province,1,10209,0,0,2.0,0,0,1.0,1.0,2.0,0,1.0,0,0,0,0,0,1.0,0,2.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,3.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,3.0
bl3DkjJEtPX,70501 Nawadurga Rural Municipality,705 DADELDHURA,705,7 Sudurpashchim Province,7,70501,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BkH14jmtBEy,11007 Chulachuli Rural Municipality,110 ILAM,110,1 Koshi Province,1,11007,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v6VtFYe7zjn,11008 Mai Municipality,110 ILAM,110,1 Koshi Province,1,11008,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0
hv4fG8ZjTkx,30404 Tripurasundari Rural Municipality,304 DHADING,304,3 Bagmati Province,3,30404,2.0,1.0,6.0,2.0,0,3.0,0,0,0,0,0,0,5.0,3.0,1.0,1.0,0,0,0,2.0,8.0,4.0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,2.0,3.0,2.0,3.0,0,0,0,3.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,2.0,1.0,0,0,2.0,0,0,3.0,1.0,0,6.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,4.0,2.0,4.0,0,2.0,0,1.0,5.0,8.0,4.0,9.0
J4SFzwHCwD7,30108 Shailung Rural Municipality,301 DOLAKHA,301,3 Bagmati Province,3,30108,1.0,0,1.0,0,0,0,2.0,1.0,1.0,3.0,1.0,0,0,0,0,0,4.0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,2.0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0,1.0,2.0,1.0,2.0
mEWltvmejLJ,31306 Khairahani Municipality,313 CHITWAN,313,3 Bagmati Province,3,31306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,4.0,0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
NeZFY1za0tu,70302 Duhun Rural Municipality,703 DARCHULA,703,7 Sudurpashchim Province,7,70302,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
n0ICenUQAGj,10404 Khiji Demba Rural Municipality,104 OKHALDHUNGA,104,1 Koshi Province,1,10404,0,0,2.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,1.0,1.0,1.0,0,1.0,2.0,3.0
hn1EFTvM2VY,51201 Bansgadhi Municipality,512 BARDIYA,512,5 Lumbini Province,5,51201,0,0,0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,8.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,1.0,0,0
BiWa3iUtHtP,10503 Rawabesi Rural Municipality,105 KHOTANG,105,1 Koshi Province,1,10503,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0
mGacVlqIv3w,31205 Manahari Rural Municipality,312 MAKWANPUR,312,3 Bagmati Province,3,31205,2.0,2.0,0,2.0,0,0,2.0,0,0,0,0,2.0,2.0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,2.0,1.0,2.0,0,1.0,1.0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,2.0,0,2.0,1.0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,2.0,2.0,0,0,0,0,0,4.0
jBGwG3a6zWb,60103 Jagadulla Rural Municipality,601 DOLPA,601,6 Karnali Province,6,60103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0
mKSUBEinvq2,11204 Sundarharaicha Municipality,112 MORANG,112,1 Koshi Province,1,11204,0,0,0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,8.0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,3.0
LbwlY7AUuoO,50408 Dhurkot Rural Municipality,504 GULMI,504,5 Lumbini Province,5,50408,0,425.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2.0,1.0,0,0,0
O83QKtwuJWq,10207 Panchakhapan Municipality,102 SANKHUWASABHA,102,1 Koshi Province,1,10207,1.0,0,0,1.0,0,1.0,1.0,6.0,2.0,1.0,0,0,2.0,4.0,0,3.0,1.0,0,0,1.0,6.0,4.0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,4.0,2.0,3.0,1.0,1.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,2.0,2.0,3.0,0,1.0,0,0,0,0,1.0,1.0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,2.0,5.0,3.0,5.0
a93eGOAOHia,11202 Letang Municipality,112 MORANG,112,1 Koshi Province,1,11202,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,40.0
LK5DFWU64XL,31103 Tinpatan Rural Municipality,311 SINDHULI,311,3 Bagmati Province,3,31103,0,0,0,1.0,0,1.0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,2.0
xx7B1K7qErB,20315 Janakpur Sub-Metropolitan City,203 DHANUSA,203,2 Madhesh Province,2,20315,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,95.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,2.0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,117.0,6.0,20.0
qIv6T7879Cn,30201 Bhotekoshi Rural Municipality,302 SINDHUPALCHOK,302,3 Bagmati Province,3,30201,0,0,0,0,1.0,2.0,1.0,0,2.0,3.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,10.0,6.0
TnT6m8FZEet,10101 Phaktanlung Rural Municipality,101 TAPLEJUNG,101,1 Koshi Province,1,10101,0,2.0,1.0,0,0,0,0,0,0,0,2.0,2.0,0,3.0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,1.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,3.0,0,0,0,1.0,0,0,1.0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0
mhNvNmTvUsE,20311 Kamala Municipality,203 DHANUSA,203,2 Madhesh Province,2,20311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uLdNzeLGQik,60203 Soru Rural Municipality,602 MUGU,602,6 Karnali Province,6,60203,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,3.0
CMLxRNQiEuz,10902 Hilihan Rural Municipality,109 PANCHTHAR,109,1 Koshi Province,1,10902,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
